family,method,model,n_runs,source_train,target_train,weight_compute,alignment_train,TOTAL
Parameter-Based,LinInt (alpha=0.50),Transformer,9,2.9248249792222953,1.6302418365556453,0.0,0.0,4.55506681577794
Parameter-Based,LinInt (alpha=0.75),RNN,9,1.5305799413333463,0.8340397163333869,0.0,0.0,2.3646196576667333
Parameter-Based,LinInt (alpha=0.75),LSTM,9,1.8013450291111641,1.000119305999912,0.0,0.0,2.801464335111076
Parameter-Based,LinInt (alpha=0.75),Transformer,9,2.9248249792222953,1.6302418365556453,0.0,0.0,4.55506681577794
Parameter-Based,LinInt (alpha=1.00),RNN,9,1.5305799413333463,0.8340397163333869,0.0,0.0,2.3646196576667333
Parameter-Based,LinInt (alpha=1.00),LSTM,9,1.8013450291111641,1.000119305999912,0.0,0.0,2.801464335111076
Parameter-Based,LinInt (alpha=1.00),Transformer,9,2.9248249792222953,1.6302418365556453,0.0,0.0,4.55506681577794
Parameter-Based,Label-Aware Source Training (tsw),RNN,9,1.676848882333464,0.0,0.00020148011112214445,0.0,1.6770503624445863
Parameter-Based,Label-Aware Source Training (tsw),LSTM,9,1.9111827268888595,0.0,0.00019217244446025555,0.0,1.91137489933332
Parameter-Based,Label-Aware Source Training (tsw),Transformer,9,3.0694511050000477,0.0,0.00020485055549413335,0.0,3.069655955555542
Parameter-Based,Label-Aware Source Training (tsbw),RNN,9,1.6689463794445045,0.0,0.00018702755561302224,0.0,1.6691334070001176
Parameter-Based,Label-Aware Source Training (tsbw),LSTM,9,1.9389809986666176,0.0,0.0002003545555452889,0.0,1.939181353222163
Parameter-Based,Label-Aware Source Training (tsbw),Transformer,9,3.0068313773332296,0.0,0.00020041355547714443,0.0,3.0070317908887065
Parameter-Based,Thresholded Label-Aware Source Training (tsbw),RNN,9,1.6553098035555094,0.0,0.00021136744448484445,0.0,1.6555211709999942
Parameter-Based,Thresholded Label-Aware Source Training (tsbw),LSTM,9,1.887529303333243,0.0,0.00020868955546874443,0.0,1.887737992888712
Parameter-Based,Thresholded Label-Aware Source Training (tsbw),Transformer,9,2.982655914666642,0.0,0.00022600488889812224,0.0,2.98288191955554
Parameter-Based,Target-Only,RNN,9,0.0,1.5675789912220859,0.0,0.0,1.5675789912220859
Parameter-Based,Target-Only,LSTM,9,0.0,1.8105261341111145,0.0,0.0,1.8105261341111145
Parameter-Based,Target-Only,Transformer,9,0.0,2.9236764992222866,0.0,0.0,2.9236764992222866
Parameter-Based,Full-Fine-Tuning,RNN,9,0.0,1.5764312556666988,0.0,0.0,1.5764312556666988
Parameter-Based,Full-Fine-Tuning,LSTM,9,0.0,1.8099217522221807,0.0,0.0,1.8099217522221807
Parameter-Based,Full-Fine-Tuning,Transformer,9,0.0,2.891211150666651,0.0,0.0,2.891211150666651
Parameter-Based,Thresholded Label-Aware Source Training (tsw),RNN,9,1.2437450876666643,0.0,0.00020959355555932223,0.0,1.2439546812222235
Parameter-Based,Thresholded Label-Aware Source Training (tsw),LSTM,9,1.3864638392221624,0.0,0.00020483999999966666,0.0,1.3866686792221623
Parameter-Based,Thresholded Label-Aware Source Training (tsw),Transformer,9,2.180949028777781,0.0,0.00023252833337506667,0.0,2.1811815571111564
Parameter-Based,Partial-FT-First,RNN,9,0.0,1.5695155407777546,0.0,0.0,1.5695155407777546
Parameter-Based,Partial-FT-First,LSTM,9,0.0,1.8209660708888704,0.0,0.0,1.8209660708888704
Parameter-Based,Partial-FT-Last,RNN,9,0.0,1.56212053422213,0.0,0.0,1.56212053422213
Parameter-Based,Partial-FT-Last,LSTM,9,0.0,1.8189379711110532,0.0,0.0,1.8189379711110532
Parameter-Based,Feature-Extraction,RNN,9,0.0,0.9867021493333191,0.0,0.0,0.9867021493333191
Parameter-Based,Feature-Extraction,LSTM,9,0.0,1.0173738181111327,0.0,0.0,1.0173738181111327
Parameter-Based,Feature-Extraction,Transformer,9,0.0,1.4500024023333633,0.0,0.0,1.4500024023333633
Parameter-Based,Direct-Transfer,RNN,9,0.0,0.0,0.0,0.0,0.0
Parameter-Based,Direct-Transfer,LSTM,9,0.0,0.0,0.0,0.0,0.0
Parameter-Based,Direct-Transfer,Transformer,9,0.0,0.0,0.0,0.0,0.0
Parameter-Based,Source Model + Target Calibration,RNN,9,0.0,0.0,0.0,0.0,0.0
Parameter-Based,Source Model + Target Calibration,LSTM,9,0.0,0.0,0.0,0.0,0.0
Parameter-Based,Source Model + Target Calibration,Transformer,9,0.0,0.0,0.0,0.0,0.0
Parameter-Based,Source-to-Target Linear Mapping,RNN,9,0.0,0.0,0.0,0.0,0.0
Parameter-Based,Source-to-Target Linear Mapping,LSTM,9,0.0,0.0,0.0,0.0,0.0
Parameter-Based,Source-to-Target Linear Mapping,Transformer,9,0.0,0.0,0.0,0.0,0.0
